user_id,recipe_id,rating,,,,,,,,,,,,,,,,,,,,,,,,
41,9,5,,,,,,,,,,,,,,,,,,,,,,,,
42,8,4,,,,,,,,,,,,,,,,,,,,,,,,
43,3,5,,,,,,,,,,,,,,,,,,,,,,,,
44,10,5,,,,,,,,,,,,,,,,,,,,,,,,
45,3,5,,,,,,,,,,,,,,,,,,,,,,,,
46,1,5,,,,,,,,,,,,,,,,,,,,,,,,
47,3,4,,,,,,,,,,,,,,,,,,,,,,,,
48,7,5,,,,,,,,,,,,,,,,,,,,,,,,
49,5,5,,,,,,,,,,,,,,,,,,,,,,,,
49,7,5,,,,,,,,,,,,,,,,,,,,,,,,
51,8,5,,,,,,,,,,,,,,,,,,,,,,,,
52,10,2,,,,,,,,,,,,,,,,,,,,,,,,
53,9,5,,,,,,,,,,,,,,,,,,,,,,,,
54,2,5,,,,,,,,,,,,,,,,,,,,,,,,
55,8,5,,,,,,,,,,,,,,,,,,,,,,,,
56,0,5,,,,,,,,,,,,,,,,,,,,,,,,
57,8,5,,,,,,,,,,,,,,,,,,,,,,,,
58,5,4,,,,,,,,,,,,,,,,,,,,,,,,
59,10,5,,,,,,,,,,,,,,,,,,,,,,,,
60,10,5,,,,,,,,,,,,,,,,,,,,,,,,
61,10,2,,,,,,,,,,,,,,,,,,,,,,,,
62,3,5,,,,,,,,,,,,,,,,,,,,,,,,
63,10,5,,,,,,,,,,,,,,,,,,,,,,,,
64,7,5,,,,,,,,,,,,,,,,,,,,,,,,
65,6,4,,,,,,,,,,,,,,,,,,,,,,,,
66,8,5,,,,,,,,,,,,,,,,,,,,,,,,
67,6,5,,,,,,,,,,,,,,,,,,,,,,,,
68,5,4,,,,,,,,,,,,,,,,,,,,,,,,
69,3,5,,,,,,,,,,,,,,,,,,,,,,,,
70,8,5,,,,,,,,,,,,,,,,,,,,,,,,
71,8,4,,,,,,,,,,,,,,,,,,,,,,,,
72,1,5,,,,,,,,,,,,,,,,,,,,,,,,
73,10,5,,,,,,,,,,,,,,,,,,,,,,,,
74,3,5,,,,,,,,,,,,,,,,,,,,,,,,
75,7,3,,,,,,,,,,,,,,,,,,,,,,,,
76,4,4,,,,,,,,,,,,,,,,,,,,,,,,
77,3,5,,,,,,,,,,,,,,,,,,,,,,,,
78,6,5,,,,,,,,,,,,,,,,,,,,,,,,
79,7,2,,,,,,,,,,,,,,,,,,,,,,,,
80,6,5,,,,,,,,,,,,,,,,,,,,,,,,
81,3,5,,,,,,,,,,,,,,,,,,,,,,,,
82,6,5,,,,,,,,,,,,,,,,,,,,,,,,
83,5,5,,,,,,,,,,,,,,,,,,,,,,,,
84,6,5,,,,,,,,,,,,,,,,,,,,,,,,
85,5,5,,,,,,,,,,,,,,,,,,,,,,,,
86,5,4,,,,,,,,,,,,,,,,,,,,,,,,
87,3,5,,,,,,,,,,,,,,,,,,,,,,,,
88,5,5,,,,,,,,,,,,,,,,,,,,,,,,
89,7,5,,,,,,,,,,,,,,,,,,,,,,,,
90,9,5,,,,,,,,,,,,,,,,,,,,,,,,
91,5,4,,,,,,,,,,,,,,,,,,,,,,,,
92,4,5,,,,,,,,,,,,,,,,,,,,,,,,
93,3,5,,,,,,,,,,,,,,,,,,,,,,,,
94,5,5,,,,,,,,,,,,,,,,,,,,,,,,
95,7,3,,,,,,,,,,,,,,,,,,,,,,,,
96,8,5,,,,,,,,,,,,,,,,,,,,,,,,
97,8,5,,,,,,,,,,,,,,,,,,,,,,,,
98,10,5,,,,,,,,,,,,,,,,,,,,,,,,
98,3,4,,,,,,,,,,,,,,,,,,,,,,,,
98,5,5,,,,,,,,,,,,,,,,,,,,,,,,
101,6,5,,,,,,,,,,,,,,,,,,,,,,,,
102,1,5,,,,,,,,,,,,,,,,,,,,,,,,
103,5,5,,,,,,,,,,,,,,,,,,,,,,,,
103,3,3,,,,,,,,,,,,,,,,,,,,,,,,
105,5,5,,,,,,,,,,,,,,,,,,,,,,,,
106,5,5,,,,,,,,,,,,,,,,,,,,,,,,
107,2,5,,,,,,,,,,,,,,,,,,,,,,,,
108,5,4,,,,,,,,,,,,,,,,,,,,,,,,
37,9,5,,,,,,,,,,,,,,,,,,,,,,,,
37,9,5,,,,,,,,,,,,,,,,,,,,,,,,
111,8,5,,,,,,,,,,,,,,,,,,,,,,,,
111,9,5,,,,,,,,,,,,,,,,,,,,,,,,
9,8,5,,,,,,,,,,,,,,,,,,,,,,,,
